iter	Logloss
281	0.5582130351
282	0.5581257284
283	0.5580147692
284	0.5579651448
285	0.5579292287
286	0.5578843322
287	0.5577811362
288	0.5576730941
289	0.5576107038
290	0.5575418992
291	0.5574400369
292	0.5574249641
293	0.5573455541
294	0.5572664385
295	0.5571837874
296	0.5570912488
297	0.557024157
298	0.5569368395
299	0.5568729788
300	0.5568295227
301	0.5568001339
302	0.5567531846
303	0.5566737041
304	0.5566035276
305	0.5564837294
306	0.5563714965
307	0.556346072
308	0.5562998397
309	0.5562328313
310	0.5562033323
311	0.5561679936
312	0.5561127464
313	0.5560522668
314	0.5560064646
315	0.5559568779
316	0.5558643081
317	0.555807967
318	0.5556542211
319	0.5555450273
320	0.5554455445
321	0.5553608235
322	0.5553049247
323	0.5552089236
324	0.5551445612
325	0.5551233909
326	0.555065188
327	0.5549608294
328	0.5548590989
329	0.5547690496
330	0.5547306823
331	0.5547087549
332	0.5546271486
333	0.5545761218
334	0.5545245998
335	0.554472022
336	0.5544336907
337	0.5543206007
338	0.554281799
339	0.554239534
340	0.5541109704
341	0.5540852386
342	0.5539971732
343	0.5539413126
344	0.5538292371
345	0.553724884
346	0.5537171316
347	0.5536392045
348	0.5535958197
349	0.5535067774
350	0.5534488988
351	0.5534186797
352	0.5533908013
353	0.5533364998
354	0.5532649864
355	0.5531864799
356	0.5531511389
357	0.5530614489
358	0.5529955696
359	0.552917099
360	0.5528174273
361	0.5527998301
362	0.5527325742
363	0.5526714484
364	0.5525867893
365	0.5525498243
366	0.5525069098
367	0.552465366
368	0.5524166836
369	0.5524029798
370	0.552337277
371	0.5523213379
372	0.5522775218
373	0.552218743
374	0.5521565733
375	0.5521105535
376	0.5519934659
377	0.5519113175
378	0.5518677617
379	0.5517735322
380	0.551685076
381	0.5516468885
382	0.5515500377
383	0.5515039521
384	0.5514694044
385	0.5514335631
386	0.5513382182
387	0.5513161997
388	0.551255116
389	0.5512216887
390	0.5512052445
391	0.5511703343
392	0.5511344158
393	0.5510911079
394	0.5510172949
395	0.5509588749
396	0.5509557016
397	0.5509290903
398	0.5507875159
399	0.5507196515
400	0.550674819
401	0.5506309767
402	0.5505873086
403	0.5504700754
404	0.5504318135
405	0.5504097782
406	0.550373104
407	0.5503341945
408	0.5503061354
409	0.550277753
410	0.5502368592
411	0.5502106062
412	0.5501830676
413	0.5501391842
414	0.5500778079
415	0.5500159971
416	0.5499888789
417	0.5499322673
418	0.5499228206
419	0.5498969986
420	0.549858846
421	0.5498293477
422	0.5497053716
423	0.5496511021
424	0.5495787188
425	0.5495217415
426	0.5494380036
427	0.5493935771
428	0.549365308
429	0.5493364579
430	0.5492630716
431	0.5492195495
432	0.549187671
433	0.5491558986
434	0.5491166996
435	0.5490736764
436	0.5490075003
437	0.5489072921
438	0.5488700767
439	0.5488072597
440	0.5487822688
441	0.5487305177
442	0.5486984596
443	0.5486479377
444	0.5485638786
445	0.5485206041
446	0.5485149779
447	0.5484408782
448	0.5483824579
449	0.5483155636
450	0.548282351
451	0.5481945029
452	0.548156606
453	0.5481177349
454	0.5480634641
455	0.5479935771
456	0.5479638633
457	0.5479536201
458	0.5479049011
459	0.5478941194
460	0.5478710418
461	0.5478060585
462	0.547761668
463	0.5477313742
464	0.5476860092
465	0.5476189745
466	0.5475857981
467	0.5475221153
468	0.5474850846
469	0.5474329377
470	0.5474295128
471	0.5473656855
472	0.5472523051
473	0.5472060676
474	0.5471862712
475	0.5471238379
476	0.5470921394
477	0.5470377625
478	0.547017126
479	0.5469633375
480	0.5468664056
481	0.5468215447
482	0.5467911799
483	0.5467251006
484	0.5466907688
485	0.5466380464
486	0.5466090881
487	0.5465546712
488	0.5465524369
489	0.546467584
490	0.5464196575
491	0.5463631866
492	0.5462725272
493	0.5462186513
494	0.5462020639
495	0.5461241715
496	0.5460705837
497	0.5460211745
498	0.5459637938
499	0.5459292436
500	0.5458721255
501	0.545812338
502	0.5457457717
503	0.5456946411
504	0.5456232412
505	0.5455658236
506	0.5455512916
507	0.5455130644
508	0.5454843211
509	0.5454589343
510	0.545445879
511	0.5454007737
512	0.5453797147
513	0.545330815
514	0.545299804
515	0.5452706335
516	0.5452049212
517	0.5451737108
518	0.5451534451
519	0.5451054804
520	0.5450540195
521	0.545005779
522	0.5449358928
523	0.5449121631
524	0.5448646703
525	0.5448620029
526	0.5448609913
527	0.5448126692
528	0.5447440533
529	0.5447207562
530	0.5446421324
531	0.5445973051
532	0.5445447257
533	0.5444930868
534	0.5444105752
535	0.5443734675
536	0.5443332614
537	0.5443125988
538	0.5442676648
539	0.5442345622
540	0.5441666215
541	0.5441176498
542	0.544074054
543	0.544020284
544	0.5439552665
545	0.5438794868
546	0.5438090618
547	0.5437650997
548	0.5436590456
549	0.5436118783
550	0.5435805394
551	0.5435306659
552	0.5434781996
553	0.5434282163
554	0.5434159538
555	0.5433594062
556	0.5433494537
557	0.5433130713
558	0.5432831044
559	0.5432454543
560	0.5432152708
561	0.5431993263
562	0.5431449717
563	0.5430969771
564	0.5430639465
565	0.5430096369
566	0.5429323911
567	0.5428688517
568	0.5428288968
569	0.5428035086
570	0.5427705125
571	0.5427495995
572	0.5426964071
573	0.5426513699
574	0.5426205047
575	0.5426073418
576	0.5425678912
577	0.542534426
578	0.5424646831
579	0.5424198951
580	0.5423546949
581	0.5423101215
582	0.5422720406
583	0.5422139053
584	0.5421664498
585	0.5420990181
586	0.5420640014
587	0.5420078558
588	0.5419657324
589	0.5419390458
590	0.5419062296
591	0.5418475214
592	0.5418083211
593	0.5417870813
594	0.5417728731
595	0.5416891787
596	0.54162109
597	0.5415897888
598	0.541515571
599	0.5414737329
600	0.5414523105
601	0.5413577609
602	0.5413154284
603	0.5412143877
604	0.5411765573
605	0.5411590668
606	0.5411278368
607	0.5411002866
608	0.5410570501
609	0.5410216716
610	0.5409759113
611	0.5409340044
612	0.5408932938
613	0.540853742
614	0.5408122409
615	0.5407786121
616	0.5407266354
617	0.5406931688
618	0.5406426785
619	0.5406168607
620	0.5405741273
621	0.5405466851
622	0.5404916831
623	0.5404063921
624	0.5403241793
625	0.5402912899
626	0.5402676336
627	0.5402157584
628	0.5401914183
629	0.5401076113
630	0.5401053727
631	0.5400773887
632	0.5399869516
633	0.5399211243
634	0.5398824362
635	0.5398627817
636	0.5398318364
637	0.5397718289
638	0.5397325243
639	0.5396155125
640	0.5395847506
641	0.5395155102
642	0.5394772706
643	0.5394137678
644	0.5393245904
645	0.5392965438
646	0.5392489422
647	0.5392029965
648	0.5391416934
649	0.5390490162
650	0.5390115109
651	0.5389421271
652	0.5389300093
653	0.5388847531
654	0.538862394
655	0.5387531718
656	0.5387260532
657	0.538702035
658	0.5386562712
659	0.5386311352
660	0.5386023636
661	0.5385549455
662	0.5384824716
663	0.5384372491
664	0.5384068007
665	0.5383870741
666	0.5383582622
667	0.5383302795
668	0.5382866436
669	0.5382688268
670	0.5382143734
671	0.5381988314
672	0.5381357082
673	0.5380799206
674	0.5380592205
675	0.5380049487
676	0.537958465
677	0.537918514
678	0.5379102187
679	0.5378454792
680	0.5378230157
681	0.5377582985
682	0.5377297041
683	0.5376702025
684	0.5376356537
685	0.5375607442
686	0.5375064377
687	0.5374859535
688	0.5374604959
689	0.5374263283
690	0.5374091981
691	0.5373341757
692	0.5373097269
693	0.5372865728
694	0.5372304621
695	0.5371512499
696	0.5371135878
697	0.5370508479
698	0.5370056977
699	0.5369754802
700	0.5369360467
701	0.5368934568
702	0.5368749563
703	0.5368314307
704	0.5367769792
705	0.5367295435
706	0.5366757728
707	0.5366126682
708	0.5365933397
709	0.5365261611
710	0.5364904681
711	0.5364383577
712	0.5363535775
713	0.5363162124
714	0.536240234
715	0.5362156756
716	0.5361927906
717	0.536154673
718	0.5361277332
719	0.5360683094
720	0.5360476089
721	0.5360189782
722	0.5359672557
723	0.5359169132
724	0.5359098457
725	0.5358406068
726	0.5358103883
727	0.5357778334
728	0.5357004082
729	0.5356959349
730	0.535674885
731	0.5356368402
732	0.5356241099
733	0.5355824582
734	0.5355401189
735	0.5354421832
736	0.5353894987
737	0.5353643306
738	0.5353479587
739	0.5352593561
740	0.5351968358
741	0.5351785515
